timestamp,open,high,low,close
2021-02-02 00:09:00,-2.2000000000000455,2.2849999999998545,-2.2000000000000455,1.9600000000002638
2021-02-02 00:10:00,,,,
2021-02-02 00:11:00,,,,
2021-02-02 00:12:00,,,,
2021-02-02 00:13:00,,,,
2021-02-02 00:14:00,,,,
2021-02-02 00:15:00,,,,
2021-02-02 00:16:00,,,,
2021-02-02 00:17:00,,,,
2021-02-02 00:18:00,,,,
2021-02-02 00:19:00,,,,
2021-02-02 00:20:00,1.7699999999997544,1.7699999999997544,1.569999999999709,1.569999999999709
2021-02-02 00:21:00,,,,
2021-02-02 00:22:00,,,,
2021-02-02 00:23:00,,,,
2021-02-02 00:24:00,,,,
2021-02-02 00:25:00,,,,
2021-02-02 00:26:00,,,,
2021-02-02 00:27:00,,,,
2021-02-02 00:28:00,,,,
2021-02-02 00:29:00,,,,
2021-02-02 00:30:00,,,,
2021-02-02 00:31:00,1.430000000000291,1.7699999999999818,0.7699999999999818,1.6800000000000637
2021-02-02 00:32:00,,,,
2021-02-02 00:33:00,,,,
2021-02-02 00:34:00,,,,
2021-02-02 00:35:00,,,,
2021-02-02 00:36:00,,,,
2021-02-02 00:37:00,,,,
2021-02-02 00:38:00,,,,
2021-02-02 00:39:00,,,,
2021-02-02 00:40:00,,,,
2021-02-02 00:41:00,,,,
2021-02-02 00:42:00,,,,
2021-02-02 00:43:00,,,,
2021-02-02 00:44:00,,,,
2021-02-02 00:45:00,,,,
2021-02-02 00:46:00,,,,
2021-02-02 00:47:00,,,,
2021-02-02 00:48:00,,,,
2021-02-02 00:49:00,,,,
2021-02-02 00:50:00,,,,
2021-02-02 00:51:00,,,,
2021-02-02 00:52:00,,,,
2021-02-02 00:53:00,,,,
2021-02-02 00:54:00,,,,
2021-02-02 00:55:00,,,,
2021-02-02 00:56:00,,,,
2021-02-02 00:57:00,,,,
2021-02-02 00:58:00,,,,
2021-02-02 00:59:00,,,,
2021-02-02 01:00:00,,,,
2021-02-02 01:01:00,,,,
2021-02-02 01:02:00,,,,
2021-02-02 01:03:00,,,,
2021-02-02 01:04:00,,,,
2021-02-02 01:05:00,,,,
2021-02-02 01:06:00,,,,
2021-02-02 01:07:00,,,,
2021-02-02 01:08:00,,,,
2021-02-02 01:09:00,,,,
2021-02-02 01:10:00,,,,
2021-02-02 01:11:00,,,,
2021-02-02 01:12:00,,,,
2021-02-02 01:13:00,,,,
2021-02-02 01:14:00,,,,
2021-02-02 01:15:00,,,,
2021-02-02 01:16:00,,,,
2021-02-02 01:17:00,,,,
2021-02-02 01:18:00,,,,
2021-02-02 01:19:00,,,,
2021-02-02 01:20:00,,,,
2021-02-02 01:21:00,,,,
2021-02-02 01:22:00,,,,
2021-02-02 01:23:00,,,,
2021-02-02 01:24:00,,,,
2021-02-02 01:25:00,,,,
2021-02-02 01:26:00,,,,
2021-02-02 01:27:00,,,,
2021-02-02 01:28:00,,,,
2021-02-02 01:29:00,,,,
2021-02-02 01:30:00,,,,
2021-02-02 01:31:00,,,,
2021-02-02 01:32:00,,,,
2021-02-02 01:33:00,,,,
2021-02-02 01:34:00,,,,
2021-02-02 01:35:00,,,,
2021-02-02 01:36:00,,,,
2021-02-02 01:37:00,,,,
2021-02-02 01:38:00,0.8700000000001182,1.099999999999909,0.3849999999999909,0.8799999999998818
2021-02-02 01:39:00,,,,
